budgetid,budgetyear,propyear,president,presidentid,term,obamadummy,poverty,civil,povertydom,civildom,perpoor,perunemployed,perblack,gdp,gdpgrowth,deficit,percentpoor,percentunemployed,presdem,congressdem,electionbudget,domestic,povertydisc,poor,unemployed,blacks
1,1970,1969,Nixon,1,1,0,41330,299.25,0.107819454,0.000780667,1711.599785,14593.92655,13.59547499,6782.335,3.5,21.5593,12.1,3.49,0,1,0,383326,41330,24.147,2.832,22.011
2,1971,1970,Nixon,1,1,0,45997,313.5,0.11743053,0.000775531,1809.480724,11237.96726,13.92405063,6745.893,-0.5,-17.81934,12.6,4.98,0,1,0,404239,47470,25.42,4.093,22.515
3,1972,1971,Nixon,1,1,0,46999,624.75,0.108309027,0.001354839,1838.84346,9369.816587,27.42055829,6948.41,3,-137.04635,12.5,5.95,0,1,1,461125,49944,25.559,5.016,22.784
4,1973,1972,Nixon,1,2,0,57721,783.36,0.110515654,0.001499862,2359.811938,11823.22819,33.84721742,7386.624,6.3,-134.62848,11.9,5.6,0,1,0,522288,57721,24.46,4.882,23.144
5,1974,1973,Nixon,1,2,0,30852,939.64,0.098390995,0.002908031,1342.967832,7068.041237,39.96427356,7942.46,7.5,-82.88848,11.1,4.86,0,1,0,323119,31792,22.973,4.365,23.512
6,1975,1974,Nixon,1,1,0,54041,838.2,0.114714764,0.001727802,2312.409071,10481.18697,35.36858095,7867.904,-0.9,-31.1658,11.2,5.64,0,1,0,485125,55651,23.37,5.156,23.699
7,1976,1975,Ford,2,1,0,46435,837.2,0.06812323,0.001118816,1794.45067,5856.350107,34.75445224,7684.495,-2.3,-242.2511,12.3,8.48,0,1,1,748291,50976,25.877,7.929,24.089
8,1977,1976,Ford,2,1,0,26967,839.22,0.091694177,0.001422185,1079.75976,3641.236835,34.39567195,7998.576,4.1,-314.09832,11.8,7.7,0,1,0,590092,54108,24.975,7.406,24.399
9,1978,1977,Carter,3,1,0,60689,801.9,0.102548408,0.001200052,2455.056634,8681.018452,32.4524484,8448.3,5.6,-217.31895,11.6,7.05,1,1,0,668221,68525,24.72,6.991,24.71
10,1979,1978,Carter,3,1,0,88948,1091.52,0.110094667,0.001343183,3630.975221,14341.82522,43.73777849,8931.514,5.7,-224.31115,11.4,6.07,1,1,0,812637,89467,24.497,6.202,24.956
11,1980,1979,Carter,3,1,0,90164,1280.43,0.116066428,0.001659964,3458.269408,14691.86899,49.35360777,9133.387,2.3,-141.31922,11.7,5.85,1,1,1,771360,89529,26.072,6.137,25.944
12,1981,1980,Carter,3,1,0,95741,1134.6,0.130457256,0.00155149,3270.73654,12536.4672,42.96425326,8730.625,-4.4,-225.1815,13,7.18,1,1,0,731297,95403,29.272,7.637,26.408
13,1982,1981,Reagan,4,1,0,79388,1166.88,0.120260709,0.001623004,2494.752058,9596.035296,43.4851308,8733.92,0,-214.79296,14,7.62,0,0,0,718963,86463,31.822,8.273,26.834
14,1983,1982,Reagan,4,1,0,26041,981.41,0.068478581,0.001951098,757.0498285,2438.752575,36.06003821,8395.95,-3.9,-321.22227,15,9.71,0,0,0,503004,34445,34.398,10.678,27.216
15,1984,1983,Reagan,4,1,0,44741,900.24,0.074882138,0.001476227,1267.342719,4174.769059,32.52547149,8804.202,4.9,-502.88084,15.2,9.6,0,0,1,609825,45665,35.303,10.717,27.678
16,1985,1984,Reagan,4,1,0,60255,849.12,0.104496125,0.001450733,1787.982196,7056.446891,30.23177983,9374.424,6.5,-430.05144,14.4,7.51,0,0,0,585304,61162,33.7,8.539,28.087
17,1986,1985,Reagan,4,2,0,46886,1017,0.096020599,0.001988332,1418.037745,5640.760346,35.70300158,9780.075,4.3,-477.693,14,7.19,0,0,0,511484,49113,33.064,8.312,28.485
18,1987,1986,Reagan,4,2,0,45533,708.48,0.086091964,0.001317005,1406.641952,5527.862086,24.53950331,9914.832,1.4,-477.85032,13.6,7,0,0,0,537948,46313,32.37,8.237,28.871
19,1988,1987,Reagan,4,2,0,46631,766.8,0.092423193,0.001267733,1447.22386,6280.26936,26.11538724,10373.526,4.6,-318.9249,13.4,6.18,0,1,0,604859,55903,32.221,7.425,29.362
